driverId,total_points,avg_points,race_count,avg_position,wins,win_rate
55,241.0,2.0252100840336134,119,6.2100840336134455,1.0,0.008403361344537815
56,191.0,2.2470588235294118,85,5.988235294117647,4.0,0.047058823529411764
57,420.0,4.077669902912621,103,4.466019417475728,20.0,0.1941747572815534
58,0.0,0.0,10,12.7,0.0,0.0
59,0.0,0.0,9,11.444444444444445,0.0,0.0
60,0.0,0.0,13,12.538461538461538,0.0,0.0
61,0.0,0.0,2,13.0,0.0,0.0
62,0.0,0.0,6,12.166666666666666,0.0,0.0
63,33.0,0.515625,64,8.671875,0.0,0.0
64,10.0,0.2564102564102564,39,9.35897435897436,0.0,0.0
65,98.0,1.0888888888888888,90,7.722222222222222,3.0,0.03333333333333333
66,0.0,0.0,8,10.875,0.0,0.0
67,29.0,0.725,40,11.975,0.0,0.0
68,0.0,0.0,12,11.666666666666666,0.0,0.0
69,0.0,0.0,25,11.6,0.0,0.0
70,1.0,0.05555555555555555,18,10.277777777777779,0.0,0.0
71,360.0,4.675324675324675,77,4.48051948051948,22.0,0.2857142857142857
73,0.0,0.0,12,11.0,0.0,0.0
74,0.0,0.0,4,12.5,0.0,0.0
75,2.0,0.1111111111111111,18,10.5,0.0,0.0
76,1.0,0.1111111111111111,9,9.88888888888889,0.0,0.0
77,385.0,3.1048387096774195,124,5.096774193548387,10.0,0.08064516129032258
78,7.0,0.2692307692307692,26,10.807692307692308,0.0,0.0
79,5.0,0.15151515151515152,33,10.909090909090908,0.0,0.0
81,8.5,0.25,34,10.294117647058824,0.0,0.0
82,0.0,0.0,3,10.666666666666666,0.0,0.0
83,1.0,0.05263157894736842,19,10.736842105263158,0.0,0.0
84,98.0,1.180722891566265,83,7.192771084337349,0.0,0.0
85,0.0,0.0,4,9.75,0.0,0.0
86,0.0,0.0,2,12.5,0.0,0.0
87,32.0,1.032258064516129,31,7.548387096774194,0.0,0.0
88,8.0,0.32,25,9.16,0.0,0.0
89,0.0,0.0,5,11.2,0.0,0.0
90,15.0,0.8823529411764706,17,9.764705882352942,0.0,0.0
91,14.0,0.7777777777777778,18,9.555555555555555,0.0,0.0
92,5.0,0.3333333333333333,15,10.066666666666666,0.0,0.0
93,0.0,0.0,3,14.333333333333334,0.0,0.0
94,18.0,0.32727272727272727,55,9.309090909090909,0.0,0.0
95,482.0,4.918367346938775,98,3.9183673469387754,31.0,0.3163265306122449
96,3.0,0.42857142857142855,7,8.714285714285714,0.0,0.0
97,0.0,0.0,2,9.5,0.0,0.0
98,0.0,0.0,1,15.0,0.0,0.0
99,1.0,0.07692307692307693,13,10.692307692307692,0.0,0.0
100,7.0,0.21875,32,9.28125,0.0,0.0
101,0.0,0.0,7,12.714285714285714,0.0,0.0
102,614.0,5.685185185185185,108,3.1481481481481484,41.0,0.37962962962962965
103,10.0,0.45454545454545453,22,9.227272727272727,0.0,0.0
104,12.0,0.46153846153846156,26,8.961538461538462,0.0,0.0
105,186.5,1.8284313725490196,102,7.509803921568627,5.0,0.049019607843137254
106,0.0,0.0,4,9.5,0.0,0.0
107,0.0,0.0,1,11.0,0.0,0.0
108,0.0,0.0,5,12.2,0.0,0.0
109,10.0,0.35714285714285715,28,8.678571428571429,0.0,0.0
110,59.0,0.8309859154929577,71,8.338028169014084,0.0,0.0
111,0.0,0.0,4,12.75,0.0,0.0
112,7.0,0.1590909090909091,44,10.295454545454545,0.0,0.0
113,0.0,0.0,1,16.0,0.0,0.0
114,0.0,0.0,15,11.2,0.0,0.0
116,0.0,0.0,1,11.0,0.0,0.0
117,798.5,5.583916083916084,143,2.958041958041958,51.0,0.35664335664335667
118,71.0,1.0597014925373134,67,7.701492537313433,0.0,0.0
119,281.0,2.2301587301587302,126,6.436507936507937,6.0,0.047619047619047616
120,2.0,0.6666666666666666,3,7.666666666666667,0.0,0.0
121,7.0,1.1666666666666667,6,7.333333333333333,0.0,0.0
122,31.0,1.0689655172413792,29,8.137931034482758,0.0,0.0
123,132.0,1.3608247422680413,97,7.412371134020619,3.0,0.030927835051546393
125,0.0,0.0,3,12.0,0.0,0.0
126,0.0,0.0,2,13.0,0.0,0.0
127,10.0,0.3225806451612903,31,9.193548387096774,0.0,0.0
128,0.0,0.0,3,10.666666666666666,0.0,0.0
129,1.0,0.07142857142857142,14,11.142857142857142,0.0,0.0
131,17.0,0.5666666666666667,30,10.133333333333333,0.0,0.0
133,6.0,0.23076923076923078,26,9.384615384615385,0.0,0.0
136,0.0,0.0,12,12.166666666666666,0.0,0.0
137,485.5,3.9795081967213113,122,4.139344262295082,23.0,0.1885245901639344
138,16.0,0.45714285714285713,35,8.514285714285714,0.0,0.0
139,3.0,0.17647058823529413,17,9.705882352941176,0.0,0.0
140,88.0,2.0,44,6.090909090909091,0.0,0.0
141,1.0,0.2,5,11.4,0.0,0.0
145,65.0,2.096774193548387,31,6.838709677419355,1.0,0.03225806451612903
146,0.0,0.0,3,12.333333333333334,0.0,0.0
147,0.0,0.0,4,13.0,0.0,0.0
148,0.0,0.0,2,11.0,0.0,0.0
151,0.0,0.0,6,9.833333333333334,0.0,0.0
152,14.0,0.5,28,9.428571428571429,0.0,0.0
153,31.0,0.8611111111111112,36,12.083333333333334,0.0,0.0
154,391.0,2.917910447761194,134,11.067164179104477,0.0,0.0
155,125.0,2.358490566037736,53,10.849056603773585,0.0,0.0
156,14.0,0.3111111111111111,45,9.422222222222222,0.0,0.0
157,4.0,0.26666666666666666,15,8.8,0.0,0.0
158,70.0,1.2727272727272727,55,7.545454545454546,0.0,0.0
159,1.0,0.09090909090909091,11,11.0,0.0,0.0
160,2.0,0.1,20,10.7,0.0,0.0
163,181.0,2.207317073170732,82,6.902439024390244,7.0,0.08536585365853659
165,0.0,0.0,2,14.5,0.0,0.0
166,11.0,0.36666666666666664,30,8.866666666666667,0.0,0.0
167,0.0,0.0,2,15.0,0.0,0.0
168,0.0,0.0,1,11.0,0.0,0.0
169,0.0,0.0,8,11.375,0.0,0.0
170,23.0,1.2777777777777777,18,6.944444444444445,0.0,0.0
172,228.0,2.425531914893617,94,5.904255319148936,6.0,0.06382978723404255
173,122.0,2.0677966101694913,59,5.796610169491525,2.0,0.03389830508474576
174,3.0,0.5,6,7.166666666666667,0.0,0.0
175,103.0,1.8070175438596492,57,6.245614035087719,2.0,0.03508771929824561
176,17.0,0.3333333333333333,51,8.980392156862745,0.0,0.0
177,159.5,2.7033898305084745,59,5.8474576271186445,5.0,0.0847457627118644
178,206.0,3.0294117647058822,68,6.235294117647059,12.0,0.17647058823529413
179,0.0,0.0,6,8.833333333333334,0.0,0.0
180,0.0,0.0,3,13.666666666666666,0.0,0.0
181,2.0,0.15384615384615385,13,10.153846153846153,0.0,0.0
182,420.5,4.6208791208791204,91,4.263736263736264,25.0,0.27472527472527475
183,0.0,0.0,5,8.6,0.0,0.0
184,5.0,0.29411764705882354,17,8.882352941176471,0.0,0.0
185,4.0,0.5714285714285714,7,8.571428571428571,0.0,0.0
186,0.0,0.0,1,12.0,0.0,0.0
187,169.0,1.8777777777777778,90,6.6,5.0,0.05555555555555555
188,1.0,0.14285714285714285,7,10.285714285714286,0.0,0.0
189,0.0,0.0,3,11.0,0.0,0.0
190,0.0,0.0,3,9.333333333333334,0.0,0.0
192,1.0,0.09090909090909091,11,9.545454545454545,0.0,0.0
193,2.0,0.2857142857142857,7,9.857142857142858,0.0,0.0
194,3.0,0.375,8,10.5,0.0,0.0
195,0.0,0.0,5,12.2,0.0,0.0
196,0.0,0.0,10,10.9,0.0,0.0
197,31.5,0.5,63,9.126984126984127,0.0,0.0
199,310.0,3.195876288659794,97,5.216494845360825,12.0,0.12371134020618557
200,71.0,1.109375,64,7.71875,1.0,0.015625
201,1.0,0.16666666666666666,6,10.333333333333334,0.0,0.0
202,101.0,2.2954545454545454,44,6.159090909090909,3.0,0.06818181818181818
203,107.0,2.7435897435897436,39,5.948717948717949,6.0,0.15384615384615385
205,0.0,0.0,10,9.7,0.0,0.0
206,15.0,0.5769230769230769,26,8.538461538461538,0.0,0.0
207,180.0,2.903225806451613,62,5.709677419354839,12.0,0.1935483870967742
208,0.0,0.0,2,15.0,0.0,0.0
209,0.0,0.0,3,10.666666666666666,0.0,0.0
211,0.0,0.0,12,10.666666666666666,0.0,0.0
212,13.0,0.8666666666666667,15,7.733333333333333,0.0,0.0
216,0.0,0.0,3,9.333333333333334,0.0,0.0
217,0.0,0.0,6,9.666666666666666,0.0,0.0
219,21.0,2.1,10,8.7,2.0,0.2
221,141.0,2.611111111111111,54,5.5,2.0,0.037037037037037035
222,255.0,3.311688311688312,77,5.194805194805195,10.0,0.12987012987012986
223,212.0,2.5542168674698793,83,6.0,5.0,0.060240963855421686
224,281.0,2.9893617021276597,94,6.0212765957446805,14.0,0.14893617021276595
229,0.0,0.0,11,10.909090909090908,0.0,0.0
230,15.5,0.4189189189189189,37,9.405405405405405,1.0,0.02702702702702703
231,179.0,3.891304347826087,46,4.195652173913044,10.0,0.21739130434782608
232,11.0,0.6875,16,9.1875,0.0,0.0
233,29.0,1.1153846153846154,26,7.538461538461538,0.0,0.0
235,181.0,2.742424242424242,66,5.893939393939394,8.0,0.12121212121212122
236,0.0,0.0,1,13.0,0.0,0.0
237,0.0,0.0,6,11.0,0.0,0.0
238,206.0,2.9014084507042255,71,6.070422535211268,10.0,0.14084507042253522
239,0.0,0.0,23,11.434782608695652,0.0,0.0
240,0.0,0.0,1,7.0,0.0,0.0
243,14.0,0.4117647058823529,34,10.323529411764707,0.0,0.0
246,0.0,0.0,6,10.333333333333334,0.0,0.0
249,0.0,0.0,1,12.0,0.0,0.0
250,58.0,1.5675675675675675,37,7.675675675675675,1.0,0.02702702702702703
251,0.0,0.0,4,11.5,0.0,0.0
252,19.0,0.8636363636363636,22,7.136363636363637,0.0,0.0
253,0.0,0.0,2,9.0,0.0,0.0
254,1.0,0.3333333333333333,3,9.666666666666666,0.0,0.0
255,31.0,2.2142857142857144,14,7.071428571428571,1.0,0.07142857142857142
256,0.0,0.0,5,13.0,0.0,0.0
258,0.0,0.0,8,12.375,0.0,0.0
259,0.0,0.0,4,12.75,0.0,0.0
262,13.0,0.8125,16,7.5625,0.0,0.0
265,0.0,0.0,8,13.125,0.0,0.0
267,0.0,0.0,4,12.5,0.0,0.0
269,0.0,0.0,1,17.0,0.0,0.0
