raceId,year,round,name,driverId,surname,position,points
218,1997,12,Belgian Grand Prix,30,Schumacher,1,10
218,1997,12,Belgian Grand Prix,21,Fisichella,2,6
218,1997,12,Belgian Grand Prix,49,Frentzen,3,4
218,1997,12,Belgian Grand Prix,65,Herbert,4,3
218,1997,12,Belgian Grand Prix,35,Villeneuve,5,2
218,1997,12,Belgian Grand Prix,77,Berger,6,1
218,1997,12,Belgian Grand Prix,64,Diniz,7,0
218,1997,12,Belgian Grand Prix,55,Alesi,8,0
218,1997,12,Belgian Grand Prix,81,Morbidelli,9,0
218,1997,12,Belgian Grand Prix,56,Irvine,10,0
218,1997,12,Belgian Grand Prix,63,Salo,11,0
218,1997,12,Belgian Grand Prix,76,Magnussen,12,0
218,1997,12,Belgian Grand Prix,71,Hill,13,0
218,1997,12,Belgian Grand Prix,79,Katayama,14,0
218,1997,12,Belgian Grand Prix,15,Trulli,15,0
219,1997,13,Italian Grand Prix,14,Coulthard,1,10
219,1997,13,Italian Grand Prix,55,Alesi,2,6
219,1997,13,Italian Grand Prix,49,Frentzen,3,4
219,1997,13,Italian Grand Prix,21,Fisichella,4,3
219,1997,13,Italian Grand Prix,35,Villeneuve,5,2
219,1997,13,Italian Grand Prix,30,Schumacher,6,1
219,1997,13,Italian Grand Prix,77,Berger,7,0
219,1997,13,Italian Grand Prix,56,Irvine,8,0
219,1997,13,Italian Grand Prix,57,Häkkinen,9,0
219,1997,13,Italian Grand Prix,15,Trulli,10,0
219,1997,13,Italian Grand Prix,75,Nakano,11,0
219,1997,13,Italian Grand Prix,81,Morbidelli,12,0
219,1997,13,Italian Grand Prix,22,Barrichello,13,0
219,1997,13,Italian Grand Prix,58,Marques,14,0
220,1997,14,Austrian Grand Prix,35,Villeneuve,1,10
220,1997,14,Austrian Grand Prix,14,Coulthard,2,6
220,1997,14,Austrian Grand Prix,49,Frentzen,3,4
220,1997,14,Austrian Grand Prix,21,Fisichella,4,3
220,1997,14,Austrian Grand Prix,23,Schumacher,5,2
